NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
17/07/1979,Feminino,Porto Feliz,Garotas (os) sem freio,5 KM
05/11/1985,Masculino,Sorocaba,Acm/FEFISO,5 KM
24/06/1981,Feminino,Votorantim,TF,10 KM
27/11/1976,Feminino,Porto Feliz,Garotas (os) sem freio,5 KM
09/12/1986,Feminino,Sorocaba,,5 KM
15/10/1994,Feminino,Votorantim,,5 KM
10/12/1981,Feminino,Votorantim,,5 KM
28/01/1982,Feminino,Votorantim,,10 KM
07/04/1990,Feminino,Votorantim,Equipe atitude,10 KM
23/10/1996,Feminino,Sorocaba,,5 KM
10/05/1973,Feminino,Sorocaba,Runvibes,5 KM
21/05/1996,Masculino,Sorocaba,SUPERA,10 KM
14/01/1997,Masculino,Votorantim,NEXXUS,5 KM
22/03/2000,Feminino,Salto de Pirapora,Avulso,5 KM
31/01/1991,Feminino,Votorantim,,5 KM
24/12/1992,Feminino,Votorantim,,5 KM
28/09/1985,Feminino,Ibiúna,Vamucorreribiuna,5 KM
07/09/1961,Masculino,Piedade,Kaikan,10 KM
28/09/1977,Feminino,Sorocaba,,PCD
12/10/1987,Feminino,Sorocaba,,5 KM
14/11/1988,Feminino,Alumínio,,5 KM
18/03/2003,Masculino,Sorocaba,TRC,PCD
13/11/1998,Feminino,Sorocaba,Não tem,5 KM
11/08/1997,Feminino,Sorocaba,Spsrun,5 KM
12/08/1966,Feminino,Votorantim,,5 KM
29/01/1991,Masculino,Sorocaba,Irmãos SILVESTR'S,5 KM
11/06/1999,Masculino,Sorocaba,,10 KM
26/06/1971,Feminino,Votorantim,ACM/FEFISO,10 KM
13/06/1995,Feminino,Piedade,,5 KM
16/04/1996,Masculino,Sorocaba,Ms team,5 KM
22/03/2004,Feminino,Votorantim,UDG,5 KM
19/05/1971,Masculino,Sorocaba,Marcos Valério,10 KM
30/06/1971,Masculino,Votorantim,Mood,5 KM
03/03/1998,Masculino,Araçoiaba da Serra,Barraca dos meninos,5 KM
28/04/2000,Feminino,Sorocaba,,5 KM
24/04/1987,Masculino,Piedade,Mutley Sports Team,10 KM
07/07/1991,Feminino,Alumínio,,5 KM
17/08/1983,Masculino,Votorantim,TRC,5 KM
26/06/1999,Masculino,Sorocaba,Sorocaba race,5 KM
29/01/1986,Feminino,Votorantim,TRC,5 KM
30/09/1981,Masculino,Votorantim,Udg,10 KM
19/07/1981,Feminino,Sorocaba,UDG,5 KM
30/12/1987,Masculino,Sorocaba,UDG,5 KM
20/05/1988,Feminino,Votorantim,PEIXE PRO,5 KM
10/08/1991,Masculino,Alumínio,,5 KM
17/02/1985,Masculino,Sorocaba,Danyboy Runner,10 KM
06/07/1974,Masculino,Votorantim,,10 KM
23/10/1997,Feminino,Sorocaba,YOU CAN RUN,10 KM
22/01/1965,Masculino,Sorocaba,Mercado Municipal,5 KM
28/08/1979,Masculino,Votorantim,divas que correm,5 KM
15/01/1982,Feminino,Sorocaba,Aasp,5 KM
16/06/2008,Masculino,Sorocaba,Divas,5 KM
21/09/1994,Masculino,Votorantim,,10 KM
19/09/1994,Masculino,Votorantim,Velocy Team,5 KM
20/10/1994,Masculino,Sorocaba,,5 KM
15/07/1988,Feminino,Sorocaba,,5 KM
03/02/2001,Masculino,Votorantim,,10 KM
20/04/1987,Feminino,Sorocaba,Force running,5 KM
14/09/1989,Feminino,Sorocaba,Cida,5 KM
16/06/1982,Masculino,Piedade,@correreuvou,5 KM
29/01/1964,Masculino,Votorantim,LOJAS CEM,5 KM
16/05/2003,Feminino,Sorocaba,,5 KM
25/01/1984,Masculino,Sorocaba,,10 KM
19/06/1986,Feminino,Sorocaba,,5 KM
13/05/1984,Feminino,Sorocaba,ACM/FEFISO,5 KM
30/07/1988,Feminino,Sorocaba,ACM/FEFISO,5 KM
17/03/1979,Masculino,Sorocaba,ACM/FEFISO,5 KM
12/05/1975,Feminino,Sorocaba,ACM,5 KM
05/09/2004,Masculino,Sorocaba,ACM/FEFISO,5 KM
23/09/2005,Feminino,Sorocaba,ACM/FEFISO,5 KM
23/10/2003,Masculino,Sorocaba,ACM/FEFISO,10 KM
11/02/2010,Feminino,Sorocaba,ACM/FEFISO,5 KM
21/12/2001,Masculino,Sorocaba,ACM/FEFISO,5 KM
19/03/1982,Feminino,Sorocaba,ACM/FEFISO,5 KM
19/01/2005,Feminino,Sorocaba,ACM/FEFISO,5 KM
29/06/1987,Feminino,Votorantim,ACM/FEFISO,10 KM
18/01/1985,Masculino,Votorantim,ACM/FEFISO,10 KM
27/12/2002,Masculino,Votorantim,ACM/FEFISO,10 KM
29/12/1990,Masculino,Votorantim,NEXXUS,5 KM
20/05/1995,Masculino,Itu,Corrida para Todos,10 KM
10/10/1988,Masculino,Capela do Alto,,10 KM
08/04/1973,Feminino,Sorocaba,,3 KM CAMINHADA
25/09/1967,Feminino,Sorocaba,,3 KM CAMINHADA
28/09/1988,Masculino,Santo André,,5 KM
07/04/1987,Feminino,Sorocaba,Toxic Running,5 KM
02/10/1978,Masculino,Sorocaba,Toxic Running,5 KM
02/06/1982,Masculino,Sorocaba,,PCD
04/07/1979,Feminino,Sorocaba,ACM FEFISO,5 KM
08/08/1989,Feminino,Sorocaba,,5 KM
16/06/1999,Feminino,Sorocaba,,10 KM
19/02/2001,Feminino,Sorocaba,,10 KM
26/11/2002,Feminino,Sorocaba,,5 KM
11/10/1963,Masculino,Piedade,Borgatto Studio,5 KM
10/01/1985,Feminino,Sorocaba,,5 KM
02/04/1990,Feminino,Sorocaba,,5 KM
18/05/1994,Feminino,Sorocaba,,5 KM
16/04/2003,Feminino,Salto,,5 KM
06/02/1992,Feminino,Sorocaba,,5 KM
11/01/2004,Feminino,Sorocaba,,5 KM
23/04/1987,Masculino,Votorantim,Acm/Fefiso,10 KM
20/03/1981,Feminino,Sorocaba,,3 KM CAMINHADA
28/11/1986,Masculino,Salto de Pirapora,,10 KM
24/09/1991,Feminino,Piedade,,5 KM
02/08/1954,Feminino,Sorocaba,Divas que correm,5 KM
31/08/1990,Masculino,Sorocaba,Farma ponte,5 KM
04/02/1982,Feminino,Sorocaba,,10 KM
02/05/1991,Feminino,Sorocaba,,3 KM CAMINHADA
27/02/1993,Feminino,Sorocaba,,5 KM
21/05/1968,Masculino,São Roque,,10 KM
10/01/1986,Masculino,Araçariguama,Família ATL,5 KM
25/06/1998,Feminino,Sorocaba,,5 KM
14/06/1982,Masculino,Itapetininga,Itapetininga,5 KM
18/12/1982,Feminino,Itapetininga,Itapetininga,5 KM
05/12/1988,Masculino,Sorocaba,,5 KM
26/07/1976,Feminino,Sorocaba,,5 KM
04/03/1978,Masculino,Sorocaba,,PCD
12/05/1993,Feminino,Salto de Pirapora,Avulso,10 KM
23/08/2006,Feminino,Sorocaba,,5 KM
22/08/2006,Masculino,Sorocaba,,5 KM
05/07/1995,Feminino,Itu,CORRIDA PARA TODOS,10 KM
23/02/1978,Feminino,Sorocaba,Peixe Pro,5 KM
09/08/1986,Feminino,Sorocaba,,5 KM
08/07/1964,Masculino,Sorocaba,,5 KM
27/08/1984,Masculino,Araçariguama,Team Destróia,5 KM
10/04/2006,Masculino,Votorantim,VOTORUNNERS,5 KM
19/06/1984,Feminino,Araçariguama,Team DesTróia,5 KM
03/04/1999,Feminino,Araçariguama,,5 KM
15/06/2003,Feminino,Campinas,,10 KM
08/03/1982,Feminino,Sorocaba,,PCD
16/10/1962,Masculino,Votorantim,Sem equipe,5 KM
14/01/2001,Masculino,São Roque,,10 KM
13/05/1978,Masculino,Tatuí,Guerreiros de Cristo runners Tatuí,5 KM
20/11/1967,Masculino,Sorocaba,Equipegada,10 KM
22/12/1996,Feminino,Sorocaba,,10 KM
01/12/1982,Feminino,Sorocaba,ACM/FEFISO,5 KM
17/02/1964,Feminino,Itapetininga,PowerRum,5 KM
11/06/1979,Feminino,Pilar do Sul,ATLETISMO PILAR DO SUL,5 KM
25/10/1964,Masculino,Sorocaba,ACM-FEFISO,10 KM
09/12/2008,Masculino,Campinas,,5 KM
05/10/1993,Feminino,Sorocaba,ACM,10 KM
27/12/1982,Feminino,Sorocaba,ACM,5 KM
06/05/1989,Feminino,Votorantim,ACM/FEFISO,10 KM
07/11/1986,Masculino,Votorantim,ACM/FEFISO,10 KM
28/10/1972,Masculino,Votorantim,ACM/FEFISO,10 KM
05/05/1990,Feminino,Sorocaba,ACM/FEFISO,5 KM
09/11/1986,Feminino,Sorocaba,,5 KM
23/11/1994,Feminino,São Roque,.,5 KM
07/04/1992,Masculino,Sorocaba,ACM/FEFISO,5 KM
25/05/1986,Feminino,São Roque,Sem equipe,5 KM
13/07/1978,Feminino,Pilar do Sul,Selj Pilar do Sul,5 KM
18/06/1974,Feminino,Alumínio,,5 KM
17/10/1968,Masculino,Alumínio,,5 KM
14/06/1988,Masculino,Sorocaba,Sem equipe,5 KM
09/04/1964,Feminino,Sorocaba,,5 KM
28/02/1988,Masculino,Sorocaba,,10 KM
19/07/1985,Feminino,Sorocaba,,5 KM
12/11/1998,Feminino,Sorocaba,,5 KM
01/12/1970,Feminino,Sorocaba,,5 KM
20/09/1991,Feminino,São Paulo,,10 KM
30/11/1999,Masculino,Votorantim,,10 KM
18/07/1999,Feminino,Votorantim,,5 KM
12/02/2003,Feminino,Sorocaba,,5 KM
13/08/1985,Feminino,Itapetininga,Elite runners itapetininga,10 KM
26/12/1997,Feminino,Itapetininga,Serafim runners,5 KM
12/12/1974,Feminino,Itapetininga,serafim runners,5 KM
08/11/1985,Feminino,Salto,Nenhuma,10 KM
03/12/1999,Masculino,Sorocaba,,5 KM
25/12/2001,Masculino,Sorocaba,,10 KM
31/08/1995,Feminino,Boituva,A vida é bela,5 KM
27/10/2000,Masculino,Votorantim,,5 KM
30/04/1963,Masculino,Sorocaba,Anjinho Chic,5 KM
04/04/1980,Masculino,Boituva,,10 KM
12/08/1987,Masculino,Mairinque,,10 KM
16/02/1974,Masculino,Sorocaba,,10 KM
17/04/1977,Masculino,Votorantim,ACM/FEFISO,5 KM
27/01/1977,Feminino,Salto De Pirapora,Sem,5 KM
18/01/1963,Masculino,Sorocaba,HACE,5 KM
08/11/1988,Masculino,Salto,Relâmpago McQueen,5 KM
30/12/1981,Masculino,Sorocaba,,5 KM
18/12/1986,Feminino,Sorocaba,,5 KM
26/10/1989,Masculino,Votorantim,Avulso,5 KM
24/10/1969,Feminino,Boituva,A vida é bela,5 KM
16/04/2001,Feminino,Capão Bonito,AUCB,5 KM
24/08/1994,Masculino,Capão Bonito,AUCB,10 KM
16/07/1993,Feminino,Capão Bonito,ANGARRUNER,5 KM
16/02/1993,Masculino,Capão Bonito,AUCB,10 KM
05/08/1994,Feminino,Sorocaba,,5 KM
11/04/1986,Masculino,Sorocaba,,5 KM
03/04/2005,Masculino,Sorocaba,,5 KM
27/05/1996,Masculino,Sorocaba,,5 KM
29/04/1980,Masculino,Sorocaba,ACM Centro,5 KM
19/04/1987,Masculino,Boituva,Ferreira Bueno,5 KM
09/02/1992,Feminino,Boituva,Ferreira Bueno,5 KM
23/11/1979,Feminino,Boituva,Cornetas Running,5 KM
29/09/1994,Feminino,Sorocaba,,5 KM
28/12/1959,Masculino,Sorocaba,Alemãozinho Sorvetes,10 KM
11/08/1985,Masculino,Sorocaba,,10 KM
05/03/1996,Feminino,Sorocaba,,5 KM
05/02/1991,Feminino,Votorantim,,10 KM
14/09/2002,Feminino,Sorocaba,,5 KM
21/08/1998,Feminino,Sorocaba,,5 KM
26/07/1985,Masculino,Votorantim,,10 KM
22/06/1990,Feminino,Boituva,CORNETAS RUNNING,5 KM
22/12/1988,Feminino,Sorocaba,,5 KM
31/01/2000,Feminino,Sorocaba,,5 KM
08/07/1983,Masculino,Sorocaba,,5 KM
05/12/1993,Feminino,Piedade,,5 KM
27/03/1974,Masculino,São Paulo,,10 KM
20/01/1975,Feminino,São Paulo,,10 KM
31/12/1982,Masculino,Sorocaba,,5 KM
21/11/1982,Feminino,São Paulo,,5 KM
04/01/2006,Feminino,Sorocaba,,5 KM
30/03/1996,Feminino,Mairinque,,5 KM
04/06/1998,Masculino,Mairinque,,5 KM
05/12/1996,Feminino,Embu das Artes,,5 KM
29/07/1998,Feminino,São Paulo,,5 KM
19/11/1989,Masculino,Sorocaba,Naporanga Run,10 KM
16/07/1981,Feminino,Sorocaba,ACM/FEFISO,5 KM
23/06/1970,Feminino,Boituva,Correr e agradecer,5 KM
11/03/2007,Masculino,Sorocaba,,5 KM
16/12/2003,Feminino,Araçariguama,,5 KM
12/05/2006,Masculino,Sorocaba,,5 KM
20/12/1988,Masculino,Sorocaba,FORCE RUNNING,5 KM
23/02/1964,Masculino,Sorocaba,Panela Leonor,5 KM
08/04/1998,Masculino,Sorocaba,,5 KM
14/05/1985,Masculino,Sorocaba,Equipe do bem.,5 KM
13/11/1992,Feminino,Sorocaba,,5 KM
31/03/1991,Masculino,Sorocaba,,5 KM
08/02/2002,Feminino,Capela do Alto,,10 KM
16/12/1973,Feminino,Sorocaba,,5 KM
16/07/1993,Feminino,Sorocaba,TREINO FOFO,5 KM
28/07/1989,Feminino,Sorocaba,,10 KM
22/07/1984,Masculino,Boituva,CORNETAS RUNNING,10 KM
17/12/1993,Feminino,Boituva,Cornetas Running,5 KM
11/06/1985,Masculino,Sorocaba,ACM/FEFISO,5 KM
04/03/1978,Feminino,Boituva,Cornetas running,10 KM
20/05/1970,Masculino,Boituva,Cornetas running,5 KM
29/05/1980,Feminino,Boituva,Cornetas running,10 KM
23/05/1983,Feminino,Boituva,Cornetas running,10 KM
12/08/1999,Feminino,Araçariguama,,10 KM
06/12/1995,Feminino,Tatuí,,10 KM
19/05/1993,Feminino,Araçariguama,,10 KM
07/09/1996,Masculino,Sorocaba,,10 KM
07/01/1972,Feminino,Sorocaba,,5 KM
21/04/1991,Feminino,Itapetininga,Serafim Runners,5 KM
28/06/1992,Feminino,Sorocaba,,5 KM
31/08/1988,Feminino,Sorocaba,,5 KM
23/05/1989,Masculino,Itapeva,Team Maurinho,5 KM
07/10/1980,Masculino,Votorantim,,10 KM
09/02/1989,Feminino,SOROCABA,,5 KM
10/10/1979,Feminino,Sorocaba,Corrente do bem,10 KM
02/06/1990,Feminino,Sorocaba,,5 KM
10/04/1974,Masculino,Pilar do Sul,Yasuda running,5 KM
16/10/1995,Feminino,Salto De Pirapora,,5 KM
09/09/2006,Feminino,Sorocaba,,5 KM
08/01/1996,Masculino,Sorocaba,,5 KM
31/05/1996,Masculino,Sorocaba,,5 KM
21/04/1996,Feminino,Sorocaba,,5 KM
05/07/1994,Feminino,Sorocaba,,5 KM
28/07/1991,Feminino,Sorocaba,,5 KM
23/02/2003,Masculino,Sorocaba,OLRSO,5 KM
22/05/1990,Feminino,Sorocaba,,10 KM
11/12/2002,Masculino,Sorocaba,OLRSO,5 KM
29/04/1996,Feminino,Salto de Pirapora,,5 KM
29/05/2002,Masculino,Sorocaba,,5 KM
22/11/1997,Masculino,Sorocaba,,5 KM
06/08/1967,Feminino,Capão Bonito,Tal Mãe Tal Filha,5 KM
18/05/1989,Masculino,Sorocaba,,5 KM
05/05/1998,Masculino,Sorocaba,TEAM FARM,10 KM
18/05/1984,Feminino,Sorocaba,,5 KM
02/06/1985,Feminino,Sorocaba,,5 KM
10/02/1976,Feminino,Sorocaba,,5 KM
27/03/1990,Feminino,Sorocaba,,5 KM
08/08/1978,Feminino,Tatuí,Evolution running,5 KM
07/05/2003,Masculino,Sorocaba,,10 KM
01/09/1997,Feminino,Sorocaba,,5 KM
07/06/1995,Feminino,Sorocaba,,5 KM
07/02/1983,Masculino,Sorocaba,,10 KM
02/03/1993,Feminino,Sorocaba,,5 KM
18/07/1984,Masculino,Sorocaba,,10 KM
11/04/1994,Masculino,Sorocaba,,10 KM
10/03/1995,Feminino,Sorocaba,,5 KM
03/08/1990,Masculino,Sorocaba,Não tenho,5 KM
02/11/1993,Feminino,Sorocaba,,5 KM
13/02/1999,Masculino,Sorocaba,YOU CAN RUN,10 KM
07/10/1962,Masculino,Votorantim,,10 KM
17/06/1994,Feminino,Sorocaba,,5 KM
18/03/1989,Feminino,Sorocaba,AVULSO,5 KM
02/07/1983,Masculino,Sorocaba,,5 KM
02/07/1997,Masculino,Sorocaba,UDG,10 KM
03/11/1959,Feminino,Sorocaba,Peixe Pro Assessoria Esportiva,10 KM
20/09/1987,Feminino,Sorocaba,,5 KM
25/10/1990,Masculino,Porto Feliz,CWB,3 KM CAMINHADA
12/07/1990,Feminino,Sorocaba,RUn UP,10 KM
24/11/1995,Feminino,Sorocaba,Workout CT,5 KM
18/06/1997,Feminino,Sorocaba,,10 KM
20/10/1998,Masculino,Sorocaba,,10 KM
19/01/2004,Masculino,Sorocaba,,5 KM
02/05/1984,Feminino,Mairinque,,5 KM
22/06/1999,Masculino,Mairinque,MX RUN,5 KM
04/01/1999,Feminino,Mairinque,MX RUN,5 KM
27/06/1997,Feminino,Carapicuíba,,5 KM
03/01/1988,Feminino,Sorocaba,Divas que correm,5 KM
19/07/1982,Feminino,Alumínio,Unimed,5 KM
09/02/1987,Feminino,Capão Bonito,,5 KM
18/03/1973,Masculino,São Roque,MB-performance-FP,10 KM
04/05/1985,Feminino,Sorocaba,,5 KM
20/09/1978,Masculino,Sorocaba,,5 KM
13/12/1999,Feminino,Itu,,10 KM
25/05/1990,Masculino,Sorocaba,,5 KM
19/08/1991,Feminino,Sorocaba,Teamwill,5 KM
25/07/1985,Feminino,São Roque,,5 KM
17/07/1973,Masculino,Votorantim,ACM/FEFISO,10 KM
02/06/2003,Feminino,Sorocaba,ACM/FEFISO,5 KM
14/11/2001,Masculino,Sorocaba,ACM/FEFISO,5 KM
26/10/1976,Feminino,Sorocaba,ACM/FEFISO,5 KM
29/07/1990,Feminino,Sorocaba,,5 KM
03/04/1996,Masculino,Sorocaba,,10 KM
13/04/2001,Masculino,Sarapuí,SERAFIM RUNNERS,10 KM
23/04/1988,Feminino,Alumínio,,10 KM
05/06/1977,Feminino,Votorantim,Não tem,10 KM
03/07/1981,Feminino,Araçoiaba da Serra,ACM/FEFISO,5 KM
06/12/1986,Feminino,Sorocaba,Sushi run,10 KM
05/05/1994,Masculino,Sorocaba,Velocy Team,5 KM
15/05/1958,Masculino,Capela do Alto,Ogawa,10 KM
16/06/1986,Feminino,Votorantim,,5 KM
07/05/1984,Masculino,Votorantim,,5 KM
09/04/1996,Feminino,São Roque,,5 KM
11/12/1989,Feminino,Alumínio,,5 KM
03/02/1983,Feminino,Sorocaba,,5 KM
20/05/1986,Masculino,Sorocaba,,5 KM
09/02/2002,Masculino,Sorocaba,,5 KM
06/04/1976,Feminino,Sorocaba,,5 KM
15/01/2000,Masculino,Sorocaba,,10 KM
31/12/1983,Feminino,Sorocaba,,5 KM
14/02/1952,Masculino,Alumínio,,5 KM
10/06/1962,Feminino,Alumínio,,5 KM
25/06/2000,Masculino,Sorocaba,5km,5 KM
18/11/1988,Masculino,Ibiúna,Nenhuma,10 KM
27/11/1997,Feminino,Sorocaba,,5 KM
17/09/1990,Masculino,São Paulo,João Tavella,5 KM
20/07/1979,Feminino,Sorocaba,ACM/FEFISO,5 KM
23/06/1990,Feminino,Sorocaba,,5 KM
30/09/1979,Feminino,Sorocaba,,5 KM
28/06/1974,Masculino,Tatuí,Pé Vermelho de Tatui,10 KM
05/10/1990,Masculino,Boituva,Pulso performance,10 KM
31/05/1999,Feminino,Boituva,Pulso performance,10 KM
04/10/1975,Masculino,Sorocaba,ACM/FEFISO,10 KM
17/02/1986,Feminino,Sorocaba,,5 KM
28/09/1977,Masculino,Sorocaba,,5 KM
29/06/2001,Feminino,Sorocaba,,5 KM
10/04/1991,Feminino,São Paulo,CRTeam,5 KM
19/03/1973,Feminino,Sorocaba,Inforunners,5 KM
10/01/1994,Feminino,Sorocaba,Team Bora Correr,5 KM
10/04/1973,Masculino,Itapeva,Team bora correr,5 KM
09/08/1958,Masculino,Tatuí,,5 KM
28/08/1992,Feminino,Sorocaba,Terral,5 KM
19/11/1977,Masculino,Sorocaba,Acm/fefiso,5 KM
21/05/1976,Feminino,Salto,Corrida para todos Itu,5 KM
16/09/1993,Masculino,Sorocaba,Sushi Run,10 KM
26/08/1962,Masculino,SAO PAULO/SP,,5 KM
24/02/1962,Feminino,SAO PAULO/SP,,3 KM CAMINHADA
08/09/1997,Masculino,Sorocaba,,10 KM
09/09/1994,Feminino,Sorocaba,Sushi Run,3 KM CAMINHADA
13/12/1961,Masculino,Votorantim,,5 KM
25/05/1981,Feminino,Itapetininga,SERAFIM RUNNERS,5 KM
21/11/1996,Masculino,Sorocaba,,5 KM
03/03/2005,Feminino,Iperó,Fundação Patria,5 KM
15/02/1999,Masculino,Itapetininga,,5 KM
29/11/2001,Masculino,Ibiúna,TEAM GB,5 KM
29/02/1988,Feminino,Ibiúna,Team GB,5 KM
15/10/1996,Feminino,Itapetininga,RS assessoria,5 KM
14/09/1975,Masculino,Sorocaba,Eden Race,5 KM
04/03/2007,Masculino,Sorocaba,,10 KM
30/12/1981,Masculino,Sorocaba,,10 KM
24/08/1984,Feminino,Ibiúna,Team GB,5 KM
14/05/2004,Masculino,Sorocaba,,5 KM
10/01/2000,Feminino,Tatuí,Sem equipe,5 KM
14/02/1983,Masculino,Sorocaba,,3 KM CAMINHADA
19/11/1987,Feminino,Araçariguama,,5 KM
21/07/1999,Masculino,Sorocaba,,10 KM
02/12/1995,Masculino,Ibiúna,Team GB,5 KM
13/04/1992,Feminino,Ibiúna,,5 KM
23/08/1982,Feminino,Sorocaba,Cura da minha amiga Rosa,5 KM
19/05/1974,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
13/08/1997,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
13/01/1996,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
15/08/1970,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
21/08/1985,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
01/05/1983,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
16/10/1987,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
11/05/1972,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
13/05/1983,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
22/09/1990,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
27/01/1982,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
05/09/1988,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
27/07/1979,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
06/04/1981,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
07/03/1983,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
22/07/1983,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
22/07/1968,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
14/01/1993,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
20/02/1980,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
24/01/1989,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
05/08/1992,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
24/05/1977,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
14/01/1983,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
05/11/1975,Feminino,Sorocaba,EDER PIRES ASSESSORIA,10 KM
30/10/1982,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
04/08/2007,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
22/09/1984,Masculino,Sorocaba,EDER PIRES ASSESSORIA,10 KM
02/08/1977,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
21/03/1994,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
04/04/1982,Masculino,Sorocaba,EDER PIRES ASSESSORIA,10 KM
26/02/1961,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
10/03/1988,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
05/05/1986,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
30/06/1984,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
30/08/1984,Feminino,Sorocaba,,5 KM
19/02/1981,Feminino,Sorocaba,,5 KM
20/10/1986,Masculino,Sorocaba,Sushi run,10 KM
01/03/1971,Masculino,Sorocaba,,5 KM
09/04/1974,Feminino,Sorocaba,,5 KM
29/06/2002,Feminino,Votorantim,,10 KM
01/05/1970,Feminino,Votorantim,,5 KM
02/02/2004,Masculino,Votorantim,,5 KM
18/12/1998,Masculino,Campinas,,5 KM
18/08/1998,Masculino,Itapetininga,,5 KM
28/01/1980,Feminino,Sorocaba,ACM/FEFISO,3 KM CAMINHADA
13/11/1995,Feminino,São Paulo,CR Team,5 KM
29/12/2012,Feminino,Sorocaba,ACM/FEFISO,3 KM CAMINHADA
15/02/2011,Feminino,Sorocaba,Henrique,5 KM
26/08/2008,Masculino,Sorocaba,Nayara,5 KM
01/09/1968,Masculino,Sorocaba,Rarfrog Run Família Rangel,10 KM
19/08/1991,Masculino,Sorocaba,,10 KM
18/04/1988,Masculino,SAO PAULO/SP,Bello Cort,5 KM
12/04/1973,Masculino,Sorocaba,,10 KM
17/08/1990,Feminino,Piedade,Open Run,5 KM
13/01/1990,Masculino,Piedade,Open Run,10 KM
20/03/1983,Feminino,Piedade,Open Run,10 KM
28/01/2001,Feminino,Piedade,Open Run,10 KM
11/05/1988,Masculino,Piedade,Open Run,5 KM
24/06/1986,Masculino,Piedade,Open Run,5 KM
04/03/1988,Feminino,Piedade,OPEN RUN,10 KM
04/06/1982,Feminino,Piedade,OPEN RUN,10 KM
27/10/1973,Feminino,Piedade,OPEN RUN,10 KM
18/06/1991,Feminino,Piedade,OPEN RUN,5 KM
12/03/2000,Masculino,Piedade,OPEN RUN,10 KM
25/09/1985,Feminino,Piedade,OPEN RUN,5 KM
21/11/1992,Feminino,Piedade,OPEN RUN,10 KM
01/12/1995,Feminino,Piedade,OPEN RUN,5 KM
03/03/1982,Feminino,Piedade,OPEN RUN,5 KM
19/07/1990,Masculino,Piedade,OPEN RUN,10 KM
25/06/1983,Masculino,Piedade,OPEN RUN,10 KM
19/10/2000,Feminino,Piedade,OPEN RUN,5 KM
02/07/1998,Feminino,Piedade,OPEN RUN,5 KM
06/02/2009,Masculino,Sorocaba,OPEN RUN,10 KM
08/07/2001,Masculino,Piedade,OPEN RUN,5 KM
30/07/1984,Masculino,Piedade,OPEN RUN,5 KM
20/01/1988,Feminino,Piedade,OPEN RUN,10 KM
22/12/1998,Masculino,Piedade,OPEN RUN,10 KM
01/04/1997,Feminino,Piedade,OPEN RUN,10 KM
16/04/2002,Feminino,Piedade,OPEN RUN,5 KM
23/07/1977,Feminino,Piedade,OPEN RUN,10 KM
04/07/1973,Feminino,Piedade,OPEN RUN,10 KM
15/07/1990,Feminino,Piedade,OPEN RUN,5 KM
02/04/1995,Feminino,Piedade,Open Run,5 KM
16/09/1972,Masculino,Piedade,OPEN RUN,10 KM
17/07/1964,Masculino,Sorocaba,,5 KM
21/05/1987,Feminino,Sorocaba,,10 KM
17/05/2000,Feminino,Piedade,,5 KM
10/05/1974,Masculino,Sorocaba,Farma ponte,10 KM
26/06/1988,Masculino,Sorocaba,,10 KM
26/01/1988,Feminino,Sorocaba,,5 KM
17/12/1991,Feminino,Sorocaba,AASP,5 KM
29/12/2002,Masculino,Sorocaba,,5 KM
26/07/2010,Feminino,Sorocaba,Ducorre,5 KM
16/01/1978,Feminino,Araçoiaba da Serra,Sem equipe,10 KM
19/09/2002,Feminino,Sorocaba,Run Vibes club,5 KM
