NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
06/12/1996,Feminino,Sorocaba,,5 KM
19/08/1981,Feminino,Sorocaba,,5 KM
18/07/1993,Masculino,Sorocaba,Kdb,5 KM
11/09/2005,Feminino,Sorocaba,,10 KM
14/09/2002,Feminino,Sorocaba,AASP,10 KM
16/06/2000,Masculino,Sorocaba,Sem equipe,10 KM
16/10/1980,Feminino,Sorocaba,FURIA DA LUZ,5 KM
22/10/1984,Feminino,Araçoiaba da Serra,FTASSESSORIA,5 KM
21/01/1976,Masculino,Araçoiaba Da Serra,FT Assessoria,5 KM
28/05/2009,Feminino,Araçoiaba Da Serra,FT Assessoria,5 KM
28/12/1983,Feminino,Votorantim,,5 KM
01/02/1988,Masculino,Sorocaba,,10 KM
26/02/1990,Feminino,Sorocaba,,5 KM
30/09/1983,Masculino,Araçoiaba da Serra,Corredores de Araçoiaba,10 KM
24/07/1978,Feminino,Sorocaba,Furia da Luz,5 KM
05/05/1991,Feminino,Sorocaba,,5 KM
19/02/1987,Masculino,Sorocaba,Primatas,5 KM
26/11/1981,Feminino,Sorocaba,Fúria da luz,10 KM
26/05/1979,Masculino,Sorocaba,FURIA DA LUZ,10 KM
18/03/1991,Feminino,SOROCABA,,5 KM
14/11/1998,Feminino,Sorocaba,Fúria da luz,5 KM
03/04/1969,Masculino,Sorocaba,Soraya Teles,10 KM
04/05/1950,Masculino,Salto,,5 KM
02/12/1996,Masculino,Araçoiaba da Serra,Hortifruti natural e saudavel,5 KM
25/11/1984,Masculino,Votorantim,ForceRunning,5 KM
23/03/1991,Feminino,Sorocaba,,5 KM
10/07/1999,Feminino,Araçoiaba da Serra,,5 KM
28/12/1997,Feminino,Araçoiaba da Serra,UV,5 KM
07/12/1990,Masculino,Araçoiaba da Serra,Vem tranquilo,10 KM
06/11/1998,Feminino,Sorocaba,,5 KM
18/06/1975,Feminino,Sorocaba,,5 KM
12/09/2000,Feminino,Sorocaba,,5 KM
08/01/1984,Feminino,Sorocaba,,5 KM
28/04/1975,Feminino,Salto de Pirapora,,5 KM
13/10/1999,Masculino,Sorocaba,Alcateia Run,10 KM
04/01/1993,Feminino,Sorocaba,AASP,5 KM
01/09/1981,Masculino,Sorocaba,Correndo com Prof Juarez,10 KM
17/03/1996,Feminino,Sorocaba,Tammy,10 KM
18/02/1989,Masculino,Sorocaba,,10 KM
26/07/1990,Masculino,Votorantim,PeixePró,5 KM
05/12/1991,Masculino,Sorocaba,LET'S RUNNING,5 KM
